
Files already downloaded and verified
[1/30][0/391]	Loss_D: 1.6103	Loss_G: 1.9020	D(x): 0.5042	D(G(z)): 0.5606 / 0.1406
[1/30][50/391]	Loss_D: 0.7839	Loss_G: 4.3197	D(x): 0.7816	D(G(z)): 0.2165 / 0.0093
[1/30][100/391]	Loss_D: 0.8093	Loss_G: 3.0090	D(x): 0.7663	D(G(z)): 0.0614 / 0.0383
[1/30][150/391]	Loss_D: 1.0074	Loss_G: 1.5736	D(x): 0.5873	D(G(z)): 0.2024 / 0.1895
[1/30][200/391]	Loss_D: 0.9868	Loss_G: 2.1653	D(x): 0.6763	D(G(z)): 0.2834 / 0.0992
[1/30][250/391]	Loss_D: 0.6981	Loss_G: 2.3491	D(x): 0.8238	D(G(z)): 0.1217 / 0.0764
[1/30][300/391]	Loss_D: 0.8225	Loss_G: 2.5329	D(x): 0.7435	D(G(z)): 0.1337 / 0.0684
[1/30][350/391]	Loss_D: 1.0464	Loss_G: 1.6790	D(x): 0.7187	D(G(z)): 0.3620 / 0.1808
[2/30][0/391]	Loss_D: 1.0066	Loss_G: 2.0935	D(x): 0.7156	D(G(z)): 0.3629 / 0.1161
[2/30][50/391]	Loss_D: 0.8696	Loss_G: 2.3175	D(x): 0.7872	D(G(z)): 0.3020 / 0.0832
[2/30][100/391]	Loss_D: 1.1319	Loss_G: 2.1652	D(x): 0.6297	D(G(z)): 0.3410 / 0.1383
[2/30][150/391]	Loss_D: 1.0431	Loss_G: 1.8078	D(x): 0.6463	D(G(z)): 0.3253 / 0.1525
[2/30][200/391]	Loss_D: 0.8656	Loss_G: 2.0296	D(x): 0.6787	D(G(z)): 0.1533 / 0.1243
[2/30][250/391]	Loss_D: 0.8636	Loss_G: 2.1614	D(x): 0.7565	D(G(z)): 0.2753 / 0.1082
[2/30][300/391]	Loss_D: 1.0609	Loss_G: 1.8231	D(x): 0.6004	D(G(z)): 0.2196 / 0.1617
[2/30][350/391]	Loss_D: 0.8205	Loss_G: 2.4480	D(x): 0.8210	D(G(z)): 0.2593 / 0.0814
[3/30][0/391]	Loss_D: 0.8610	Loss_G: 1.4796	D(x): 0.6711	D(G(z)): 0.1403 / 0.2135
[3/30][50/391]	Loss_D: 0.9961	Loss_G: 2.8164	D(x): 0.8323	D(G(z)): 0.3993 / 0.0530
[3/30][100/391]	Loss_D: 1.0216	Loss_G: 1.5507	D(x): 0.6042	D(G(z)): 0.2096 / 0.2061
[3/30][150/391]	Loss_D: 0.8602	Loss_G: 2.5230	D(x): 0.7513	D(G(z)): 0.2455 / 0.0780
[3/30][200/391]	Loss_D: 1.0072	Loss_G: 2.5273	D(x): 0.7706	D(G(z)): 0.3973 / 0.0760
[3/30][250/391]	Loss_D: 1.0459	Loss_G: 1.8266	D(x): 0.7290	D(G(z)): 0.3899 / 0.1576
[3/30][300/391]	Loss_D: 0.9796	Loss_G: 1.8030	D(x): 0.6654	D(G(z)): 0.2553 / 0.1688
[3/30][350/391]	Loss_D: 1.0210	Loss_G: 1.7844	D(x): 0.6950	D(G(z)): 0.3475 / 0.1634
[4/30][0/391]	Loss_D: 0.9988	Loss_G: 1.4944	D(x): 0.6511	D(G(z)): 0.2836 / 0.2229
[4/30][50/391]	Loss_D: 0.9292	Loss_G: 1.9988	D(x): 0.7320	D(G(z)): 0.3105 / 0.1269
[4/30][100/391]	Loss_D: 0.8646	Loss_G: 1.7677	D(x): 0.7341	D(G(z)): 0.2258 / 0.1687
[4/30][150/391]	Loss_D: 1.1751	Loss_G: 2.1029	D(x): 0.6615	D(G(z)): 0.4044 / 0.1296
