
Files already downloaded and verified
[1/30][0/79]	Loss_D: 1.6784	Loss_G: 1.7998	D(x): 0.4685	D(G(z)): 0.5606 / 0.1571
[1/30][50/79]	Loss_D: 0.8575	Loss_G: 4.2832	D(x): 0.7643	D(G(z)): 0.2613 / 0.0103
[2/30][0/79]	Loss_D: 0.8201	Loss_G: 4.6587	D(x): 0.8247	D(G(z)): 0.2740 / 0.0063
[2/30][50/79]	Loss_D: 0.8613	Loss_G: 2.2361	D(x): 0.7087	D(G(z)): 0.0891 / 0.0904
[3/30][0/79]	Loss_D: 0.9287	Loss_G: 1.9645	D(x): 0.7179	D(G(z)): 0.2738 / 0.1316
[3/30][50/79]	Loss_D: 1.0240	Loss_G: 1.6919	D(x): 0.5767	D(G(z)): 0.1896 / 0.1679
[4/30][0/79]	Loss_D: 1.0350	Loss_G: 1.9512	D(x): 0.5977	D(G(z)): 0.1906 / 0.1331
[4/30][50/79]	Loss_D: 0.7689	Loss_G: 2.5750	D(x): 0.8212	D(G(z)): 0.2025 / 0.0623
[5/30][0/79]	Loss_D: 1.0904	Loss_G: 3.6467	D(x): 0.8399	D(G(z)): 0.4555 / 0.0217
[5/30][50/79]	Loss_D: 1.0435	Loss_G: 1.5646	D(x): 0.6224	D(G(z)): 0.3188 / 0.1928
[6/30][0/79]	Loss_D: 0.8457	Loss_G: 1.8600	D(x): 0.7261	D(G(z)): 0.2219 / 0.1472
[6/30][50/79]	Loss_D: 1.1870	Loss_G: 1.8928	D(x): 0.4724	D(G(z)): 0.1549 / 0.1421
[7/30][0/79]	Loss_D: 1.0959	Loss_G: 1.7108	D(x): 0.5832	D(G(z)): 0.2847 / 0.1771
[7/30][50/79]	Loss_D: 1.1508	Loss_G: 0.8417	D(x): 0.5182	D(G(z)): 0.0348 / 0.4750
[8/30][0/79]	Loss_D: 0.8849	Loss_G: 2.5951	D(x): 0.7851	D(G(z)): 0.3249 / 0.0617
[8/30][50/79]	Loss_D: 0.9689	Loss_G: 1.8047	D(x): 0.6335	D(G(z)): 0.2077 / 0.1637
[9/30][0/79]	Loss_D: 1.0713	Loss_G: 2.2926	D(x): 0.6563	D(G(z)): 0.3261 / 0.0955
[9/30][50/79]	Loss_D: 0.9368	Loss_G: 1.9292	D(x): 0.6678	D(G(z)): 0.2321 / 0.1483
[10/30][0/79]	Loss_D: 0.8448	Loss_G: 2.5547	D(x): 0.8410	D(G(z)): 0.3101 / 0.0744
[10/30][50/79]	Loss_D: 0.8827	Loss_G: 2.3135	D(x): 0.7230	D(G(z)): 0.2262 / 0.0951
[11/30][0/79]	Loss_D: 0.9095	Loss_G: 2.2139	D(x): 0.7578	D(G(z)): 0.3139 / 0.1014
[11/30][50/79]	Loss_D: 0.9236	Loss_G: 2.2565	D(x): 0.7818	D(G(z)): 0.3417 / 0.0988
[12/30][0/79]	Loss_D: 1.0638	Loss_G: 2.5349	D(x): 0.8120	D(G(z)): 0.4391 / 0.0766
[12/30][50/79]	Loss_D: 1.0622	Loss_G: 2.0823	D(x): 0.7241	D(G(z)): 0.4163 / 0.1186
[13/30][0/79]	Loss_D: 1.0387	Loss_G: 1.9349	D(x): 0.7261	D(G(z)): 0.3890 / 0.1356
[13/30][50/79]	Loss_D: 0.9512	Loss_G: 2.3673	D(x): 0.7983	D(G(z)): 0.3761 / 0.0877
[14/30][0/79]	Loss_D: 1.2473	Loss_G: 1.0917	D(x): 0.4549	D(G(z)): 0.1446 / 0.3536
[14/30][50/79]	Loss_D: 0.9147	Loss_G: 1.8516	D(x): 0.7288	D(G(z)): 0.2889 / 0.1545
[15/30][0/79]	Loss_D: 0.9149	Loss_G: 1.7175	D(x): 0.6681	D(G(z)): 0.1706 / 0.1720
[15/30][50/79]	Loss_D: 0.8544	Loss_G: 1.7445	D(x): 0.6831	D(G(z)): 0.1215 / 0.1701
[16/30][0/79]	Loss_D: 0.8625	Loss_G: 1.2878	D(x): 0.7307	D(G(z)): 0.2453 / 0.2705
[16/30][50/79]	Loss_D: 0.8209	Loss_G: 1.8542	D(x): 0.7726	D(G(z)): 0.2312 / 0.1495
[17/30][0/79]	Loss_D: 1.0094	Loss_G: 2.5911	D(x): 0.8681	D(G(z)): 0.4372 / 0.0721
[17/30][50/79]	Loss_D: 0.8545	Loss_G: 1.8350	D(x): 0.7019	D(G(z)): 0.1886 / 0.1547
[18/30][0/79]	Loss_D: 0.8905	Loss_G: 1.8470	D(x): 0.7020	D(G(z)): 0.2035 / 0.1619
[18/30][50/79]	Loss_D: 1.3493	Loss_G: 0.9207	D(x): 0.4061	D(G(z)): 0.1078 / 0.4234
[19/30][0/79]	Loss_D: 0.9891	Loss_G: 1.0490	D(x): 0.5903	D(G(z)): 0.1574 / 0.3744
[19/30][50/79]	Loss_D: 0.9243	Loss_G: 2.1217	D(x): 0.7973	D(G(z)): 0.3552 / 0.1125
[20/30][0/79]	Loss_D: 0.9272	Loss_G: 2.0389	D(x): 0.8254	D(G(z)): 0.3613 / 0.1241
[20/30][50/79]	Loss_D: 0.9385	Loss_G: 1.5502	D(x): 0.7063	D(G(z)): 0.2830 / 0.2036
[21/30][0/79]	Loss_D: 1.0400	Loss_G: 1.1159	D(x): 0.5692	D(G(z)): 0.2052 / 0.3426
[21/30][50/79]	Loss_D: 1.0264	Loss_G: 1.2991	D(x): 0.6300	D(G(z)): 0.2838 / 0.2699
[22/30][0/79]	Loss_D: 1.0564	Loss_G: 1.5616	D(x): 0.7411	D(G(z)): 0.4021 / 0.2107
[22/30][50/79]	Loss_D: 1.0904	Loss_G: 1.5956	D(x): 0.6725	D(G(z)): 0.3952 / 0.1990
[23/30][0/79]	Loss_D: 1.0358	Loss_G: 1.2750	D(x): 0.5575	D(G(z)): 0.1651 / 0.2860
[23/30][50/79]	Loss_D: 0.9102	Loss_G: 1.4370	D(x): 0.6804	D(G(z)): 0.2412 / 0.2369
[24/30][0/79]	Loss_D: 1.0460	Loss_G: 1.3856	D(x): 0.7512	D(G(z)): 0.4093 / 0.2548
[24/30][50/79]	Loss_D: 0.9732	Loss_G: 1.3158	D(x): 0.6234	D(G(z)): 0.2427 / 0.2628
