
Files already downloaded and verified
[1/50][0/79]	Loss_D: 1.5467	Loss_G: 1.7338	D(x): 0.5376	D(G(z)): 0.5606 / 0.1691
[1/50][50/79]	Loss_D: 0.8552	Loss_G: 2.9292	D(x): 0.7386	D(G(z)): 0.2391 / 0.0411
[2/50][0/79]	Loss_D: 0.7801	Loss_G: 2.3006	D(x): 0.7521	D(G(z)): 0.1187 / 0.0832
[2/50][50/79]	Loss_D: 1.1182	Loss_G: 1.8684	D(x): 0.6694	D(G(z)): 0.4079 / 0.1508
[3/50][0/79]	Loss_D: 0.9219	Loss_G: 1.9588	D(x): 0.6829	D(G(z)): 0.2583 / 0.1260
[3/50][50/79]	Loss_D: 0.9130	Loss_G: 2.3695	D(x): 0.7339	D(G(z)): 0.3039 / 0.0840
[4/50][0/79]	Loss_D: 0.9189	Loss_G: 2.1921	D(x): 0.7386	D(G(z)): 0.2877 / 0.1006
[4/50][50/79]	Loss_D: 1.2142	Loss_G: 1.2433	D(x): 0.5542	D(G(z)): 0.3729 / 0.2919
[5/50][0/79]	Loss_D: 1.6757	Loss_G: 2.4940	D(x): 0.8647	D(G(z)): 0.7184 / 0.0721
[5/50][50/79]	Loss_D: 1.2199	Loss_G: 2.1508	D(x): 0.6512	D(G(z)): 0.4798 / 0.1041
[6/50][0/79]	Loss_D: 1.2219	Loss_G: 1.3193	D(x): 0.4906	D(G(z)): 0.2723 / 0.2704
[6/50][50/79]	Loss_D: 1.0110	Loss_G: 1.8326	D(x): 0.7384	D(G(z)): 0.4046 / 0.1459
[7/50][0/79]	Loss_D: 1.0026	Loss_G: 1.3464	D(x): 0.6657	D(G(z)): 0.3317 / 0.2469
[7/50][50/79]	Loss_D: 1.1968	Loss_G: 1.0926	D(x): 0.4938	D(G(z)): 0.2626 / 0.3281
[8/50][0/79]	Loss_D: 1.0697	Loss_G: 1.9661	D(x): 0.6570	D(G(z)): 0.3544 / 0.1260
[8/50][50/79]	Loss_D: 1.0301	Loss_G: 1.1238	D(x): 0.5524	D(G(z)): 0.2105 / 0.3145
[9/50][0/79]	Loss_D: 1.1301	Loss_G: 1.7984	D(x): 0.6745	D(G(z)): 0.4206 / 0.1694
[9/50][50/79]	Loss_D: 1.2694	Loss_G: 1.2440	D(x): 0.5142	D(G(z)): 0.3560 / 0.2817
[10/50][0/79]	Loss_D: 1.3720	Loss_G: 1.0815	D(x): 0.3975	D(G(z)): 0.2140 / 0.3435
[10/50][50/79]	Loss_D: 1.0386	Loss_G: 1.4622	D(x): 0.6421	D(G(z)): 0.3417 / 0.2175
[11/50][0/79]	Loss_D: 1.1964	Loss_G: 1.6636	D(x): 0.5692	D(G(z)): 0.3975 / 0.1724
[11/50][50/79]	Loss_D: 1.0339	Loss_G: 1.5168	D(x): 0.6620	D(G(z)): 0.3693 / 0.2021
[12/50][0/79]	Loss_D: 1.2937	Loss_G: 1.9654	D(x): 0.7134	D(G(z)): 0.5645 / 0.1267
[12/50][50/79]	Loss_D: 1.2288	Loss_G: 1.2725	D(x): 0.5696	D(G(z)): 0.4170 / 0.2652
[13/50][0/79]	Loss_D: 1.5793	Loss_G: 0.7276	D(x): 0.3043	D(G(z)): 0.1433 / 0.5135
[13/50][50/79]	Loss_D: 1.1506	Loss_G: 1.1710	D(x): 0.5958	D(G(z)): 0.3809 / 0.3062
[14/50][0/79]	Loss_D: 1.3235	Loss_G: 2.6304	D(x): 0.7103	D(G(z)): 0.5718 / 0.0640
[14/50][50/79]	Loss_D: 1.2220	Loss_G: 1.3309	D(x): 0.5968	D(G(z)): 0.4399 / 0.2536
[15/50][0/79]	Loss_D: 1.1567	Loss_G: 1.0531	D(x): 0.5709	D(G(z)): 0.3666 / 0.3424
[15/50][50/79]	Loss_D: 1.1312	Loss_G: 1.2273	D(x): 0.6102	D(G(z)): 0.3849 / 0.2883
[16/50][0/79]	Loss_D: 1.4059	Loss_G: 0.8567	D(x): 0.4382	D(G(z)): 0.3490 / 0.4372
[16/50][50/79]	Loss_D: 1.1220	Loss_G: 1.5327	D(x): 0.7428	D(G(z)): 0.4758 / 0.2073
[17/50][0/79]	Loss_D: 1.7324	Loss_G: 2.5538	D(x): 0.9004	D(G(z)): 0.7606 / 0.0678
[17/50][50/79]	Loss_D: 1.0824	Loss_G: 0.9230	D(x): 0.5519	D(G(z)): 0.2673 / 0.3985
[18/50][0/79]	Loss_D: 1.1116	Loss_G: 1.3779	D(x): 0.6254	D(G(z)): 0.3828 / 0.2436
[18/50][50/79]	Loss_D: 1.0249	Loss_G: 1.1276	D(x): 0.6016	D(G(z)): 0.2896 / 0.3121
[19/50][0/79]	Loss_D: 1.0906	Loss_G: 1.3495	D(x): 0.5902	D(G(z)): 0.3269 / 0.2465
[19/50][50/79]	Loss_D: 1.1275	Loss_G: 0.8903	D(x): 0.5281	D(G(z)): 0.2561 / 0.4203
[20/50][0/79]	Loss_D: 1.1372	Loss_G: 1.1976	D(x): 0.5809	D(G(z)): 0.3586 / 0.2969
